customer_id,full_name,date_of_birth,city,state,occupation,kyc_status,risk_category,created_timestamp
CUST00025,Frederick Salvi,2003-08-31,Warangal,Haryana,Engineer,PENDING,MEDIUM,2026-05-22 13:44:06.473999
CUST00026,Owen Sandhu,1983-11-17,Medininagar,Haryana,Doctor,REJECTED,LOW,2026-05-22 13:44:06.474020
CUST00027,Mitali Borra,1977-01-29,Narasaraopet,Mizoram,Government Employee,VERIFIED,HIGH,2026-05-22 13:44:06.474040
CUST00028,Faris Memon,2007-03-17,Tiruppur,Meghalaya,Government Employee,VERIFIED,HIGH,2026-05-22 13:44:06.474059
CUST00029,Imaran Cherian,1982-06-09,Purnia,Punjab,Business,PENDING,HIGH,2026-05-22 13:44:06.474077
CUST00030,Sai Naik,1967-12-04,Nadiad,Jharkhand,Engineer,REJECTED,HIGH,2026-05-22 13:44:06.474095
CUST00031,Harita Bal,1953-11-27,Vasai-Virar,Rajasthan,Lawyer,REJECTED,LOW,2026-05-22 13:44:06.474113
CUST00032,Anthony Borra,1960-10-16,Gulbarga,Bihar,Business,REJECTED,HIGH,2026-05-22 13:44:06.474130
CUST00033,Praneel Dhillon,1961-04-24,Madhyamgram,Telangana,Government Employee,REJECTED,HIGH,2026-05-22 13:44:06.474147
CUST00034,Siddharth Dewan,1954-02-15,Vellore,Gujarat,Lawyer,REJECTED,MEDIUM,2026-05-22 13:44:06.474164
CUST00035,Xalak Muni,1990-03-12,Raurkela Industrial Township,Uttarakhand,Lawyer,PENDING,HIGH,2026-05-22 13:44:06.474182
CUST00036,Prisha Bora,1990-10-22,Gopalpur,Karnataka,Doctor,VERIFIED,HIGH,2026-05-22 13:44:06.474207
CUST00037,Anmol Rattan,2003-12-27,Eluru,Nagaland,Doctor,VERIFIED,LOW,2026-05-22 13:44:06.474225
CUST00038,Isaiah Jha,1974-06-17,Bhilai,Rajasthan,Engineer,REJECTED,HIGH,2026-05-22 13:44:06.474247
CUST00039,Yachana Amble,1993-08-06,Jamnagar,Gujarat,Business,PENDING,HIGH,2026-05-22 13:44:06.474264
CUST00040,Anamika Gulati,1980-06-21,Bhusawal,Meghalaya,Business,VERIFIED,LOW,2026-05-22 13:44:06.474281
CUST00041,Mugdha Mahajan,1976-05-20,Karimnagar,Mizoram,Business,VERIFIED,MEDIUM,2026-05-22 13:44:06.474300
CUST00042,Hredhaan Karan,1972-05-11,Thanjavur,Jharkhand,Teacher,VERIFIED,LOW,2026-05-22 13:44:06.474319
CUST00043,Ekavir Sachdeva,2002-10-19,Latur,Odisha,Teacher,REJECTED,LOW,2026-05-22 13:44:06.474336
CUST00044,Ekavir Karan,2003-03-11,North Dumdum,Sikkim,Engineer,REJECTED,HIGH,2026-05-22 13:44:06.474351
CUST00045,Alexander Agarwal,1963-06-12,Durgapur,Maharashtra,Doctor,PENDING,LOW,2026-05-22 13:44:06.474366
CUST00046,Yashodhara Om,1958-08-10,Pudukkottai,Rajasthan,Business,VERIFIED,HIGH,2026-05-22 13:44:06.474382
CUST00047,Harinakshi Dave,1982-06-17,Panchkula,Manipur,Lawyer,REJECTED,LOW,2026-05-22 13:44:06.474398
CUST00048,Utkarsh Talwar,1996-06-26,Karawal Nagar,Haryana,Government Employee,REJECTED,HIGH,2026-05-22 13:44:06.474414
CUST00049,Amruta Pandya,1987-12-11,Jalna,Goa,Lawyer,PENDING,LOW,2026-05-22 13:44:06.474428
CUST00050,Vaishnavi Mahal,1959-08-16,Srinagar,Maharashtra,Government Employee,VERIFIED,MEDIUM,2026-05-22 13:44:06.474448
CUST00051,Zilmil Chana,1986-05-19,Jalandhar,Sikkim,Business,REJECTED,HIGH,2026-05-22 13:44:06.474465
CUST00052,Urmi Vasa,1953-04-02,Howrah,Tamil Nadu,Teacher,VERIFIED,LOW,2026-05-22 13:44:06.474486
CUST00053,Oeshi Ahluwalia,1994-05-06,Kishanganj,Karnataka,Teacher,PENDING,MEDIUM,2026-05-22 13:44:06.474503
CUST00054,Yashvi Mallick,1994-03-07,Ahmedabad,Maharashtra,Engineer,PENDING,HIGH,2026-05-22 13:44:06.474523
CUST00055,Ekantika Bajaj,1990-07-21,Siwan,Karnataka,Teacher,VERIFIED,MEDIUM,2026-05-22 13:44:06.474544
CUST00056,Victor Patel,1965-07-21,Gorakhpur,Arunachal Pradesh,Lawyer,PENDING,HIGH,2026-05-22 13:44:06.474562
CUST00057,Ekalinga Dutta,1950-12-11,Bikaner,Uttarakhand,Government Employee,REJECTED,LOW,2026-05-22 13:44:06.474582
CUST00058,Shravya Loyal,2007-05-23,Sonipat,Jharkhand,Teacher,VERIFIED,MEDIUM,2026-05-22 13:44:06.474601
CUST00059,Michael Sule,1994-11-28,Hubli–Dharwad,Andhra Pradesh,Teacher,VERIFIED,HIGH,2026-05-22 13:44:06.474622
CUST00060,Bakhshi Agrawal,1980-12-10,Amaravati,Mizoram,Doctor,VERIFIED,HIGH,2026-05-22 13:44:06.474640
CUST00061,Samuel Behl,1969-01-02,Amravati,Gujarat,Lawyer,REJECTED,HIGH,2026-05-22 13:44:06.474658
CUST00062,Vasatika Ramakrishnan,2003-02-17,Sikar,Gujarat,Teacher,VERIFIED,MEDIUM,2026-05-22 13:44:06.474676
CUST00063,Karan Bhatia,1955-06-09,Karaikudi,Telangana,Business,VERIFIED,HIGH,2026-05-22 13:44:06.474700
CUST00064,Mitesh Sant,2006-02-01,Bhind,Madhya Pradesh,Engineer,VERIFIED,LOW,2026-05-22 13:44:06.474718
CUST00065,Nathaniel Nagi,1982-10-19,Ozhukarai,Karnataka,Lawyer,REJECTED,LOW,2026-05-22 13:44:06.474737
CUST00066,Widisha Kaur,2005-12-09,Chandigarh,Madhya Pradesh,Teacher,PENDING,HIGH,2026-05-22 13:44:06.474757
CUST00067,Chaitaly Jaggi,1994-05-13,Jamshedpur,Tripura,Doctor,PENDING,HIGH,2026-05-22 13:44:06.474775
CUST00068,Girindra Gill,1971-07-18,Kota,Telangana,Doctor,REJECTED,MEDIUM,2026-05-22 13:44:06.474793
CUST00069,Yashica Pai,1978-01-17,Shahjahanpur,Sikkim,Engineer,PENDING,MEDIUM,2026-05-22 13:44:06.474811
CUST00070,Yutika Karan,1977-08-02,Loni,Chhattisgarh,Government Employee,PENDING,LOW,2026-05-22 13:44:06.474829
CUST00071,Yauvani Mandal,1974-06-12,Loni,Nagaland,Doctor,REJECTED,HIGH,2026-05-22 13:44:06.474846
CUST00072,Theodore Kapadia,1963-06-15,Sangli-Miraj & Kupwad,Goa,Engineer,REJECTED,HIGH,2026-05-22 13:44:06.474864
CUST00073,Hamsini Bir,1986-12-06,Panihati,Meghalaya,Lawyer,PENDING,LOW,2026-05-22 13:44:06.474882
CUST00074,Nimrat Lata,1983-11-01,Hosur,Odisha,Doctor,VERIFIED,MEDIUM,2026-05-22 13:44:06.474900
CUST00075,Alexander Nagi,1959-12-01,Kharagpur,Madhya Pradesh,Lawyer,PENDING,MEDIUM,2026-05-22 13:44:06.474919
CUST00076,Keya Varma,1970-11-29,Tadipatri,Nagaland,Government Employee,PENDING,LOW,2026-05-22 13:44:06.474937
CUST00077,Janani Doctor,1954-04-30,Allahabad,Arunachal Pradesh,Government Employee,REJECTED,LOW,2026-05-22 13:44:06.474954
CUST00078,George Dalal,1966-03-08,Kadapa,Tripura,Business,VERIFIED,MEDIUM,2026-05-22 13:44:06.474973
CUST00079,Jhalak Ganguly,1956-05-17,Rajpur Sonarpur,Himachal Pradesh,Business,PENDING,LOW,2026-05-22 13:44:06.474992
CUST00080,Daksh Uppal,1965-09-05,Kishanganj,Andhra Pradesh,Engineer,REJECTED,MEDIUM,2026-05-22 13:44:06.475010
CUST00081,Abhimanyu Subramaniam,1997-07-13,Suryapet,Chhattisgarh,Doctor,REJECTED,LOW,2026-05-22 13:44:06.475028
CUST00082,Eshana Sami,1958-09-23,Vadodara,Uttar Pradesh,Doctor,PENDING,MEDIUM,2026-05-22 13:44:06.475046
CUST00083,Diya Bobal,1992-02-24,Bally,Tamil Nadu,Government Employee,PENDING,MEDIUM,2026-05-22 13:44:06.475064
CUST00084,Rajata Gour,1985-04-28,Jehanabad,Goa,Business,VERIFIED,MEDIUM,2026-05-22 13:44:06.475081
CUST00085,Kala Lala,1982-04-22,Amroha,Odisha,Government Employee,REJECTED,MEDIUM,2026-05-22 13:44:06.475104
CUST00086,Aarini Sangha,1999-12-18,Tiruppur,West Bengal,Lawyer,VERIFIED,LOW,2026-05-22 13:44:06.475121
CUST00087,Farhan Chand,2004-12-27,Purnia,Tripura,Government Employee,PENDING,MEDIUM,2026-05-22 13:44:06.475138
CUST00088,Janaki Bala,1998-05-12,Karimnagar,Assam,Teacher,REJECTED,MEDIUM,2026-05-22 13:44:06.475165
CUST00089,Jagvi Das,1979-06-25,Amaravati,Nagaland,Lawyer,VERIFIED,MEDIUM,2026-05-22 13:44:06.475183
CUST00090,Harshil Hegde,2007-04-25,North Dumdum,Bihar,Engineer,VERIFIED,MEDIUM,2026-05-22 13:44:06.475202
CUST00091,Anay Bal,1971-01-18,Solapur,Tamil Nadu,Lawyer,REJECTED,HIGH,2026-05-22 13:44:06.475220
CUST00092,Ekaja Sagar,1951-03-03,Munger,Madhya Pradesh,Business,VERIFIED,LOW,2026-05-22 13:44:06.475238
CUST00093,Chaitaly Kala,1970-12-25,Ambarnath,Gujarat,Engineer,REJECTED,LOW,2026-05-22 13:44:06.475256
CUST00094,Jackson Chahal,1993-09-08,Bhind,Mizoram,Doctor,REJECTED,LOW,2026-05-22 13:44:06.475279
CUST00095,Isaac Sabharwal,2007-09-22,Gaya,Haryana,Government Employee,VERIFIED,HIGH,2026-05-22 13:44:06.475299
CUST00096,Faras Arora,1964-08-27,Chandrapur,Maharashtra,Business,VERIFIED,MEDIUM,2026-05-22 13:44:06.475316
CUST00097,Ekiya Srivastava,1993-02-16,Jamnagar,Jharkhand,Government Employee,PENDING,MEDIUM,2026-05-22 13:44:06.475334
CUST00098,Arin Mody,1996-06-28,Lucknow,Tripura,Engineer,REJECTED,HIGH,2026-05-22 13:44:06.475351
CUST00099,Kabir Chaudhuri,2002-12-21,Imphal,Sikkim,Teacher,REJECTED,LOW,2026-05-22 13:44:06.475375
CUST00100,Eshana Gupta,2000-12-07,Jalgaon,Assam,Teacher,REJECTED,MEDIUM,2026-05-22 13:44:06.475393
CUST00101,Kashish Mutti,1997-03-17,Tinsukia,Himachal Pradesh,Business,PENDING,HIGH,2026-05-22 13:44:06.475411
CUST00102,Faqid Sama,1955-03-21,South Dumdum,Meghalaya,Business,PENDING,LOW,2026-05-22 13:44:06.475427
CUST00103,Caleb Deshmukh,1962-10-06,Panvel,Sikkim,Business,PENDING,MEDIUM,2026-05-22 13:44:06.475443
CUST00104,Nilima Venkataraman,1957-11-26,Ambala,Tamil Nadu,Teacher,VERIFIED,MEDIUM,2026-05-22 13:44:06.475459
CUST00105,Yashasvi Bajwa,1962-11-26,Satara,Mizoram,Business,REJECTED,HIGH,2026-05-22 13:44:06.475476
CUST00106,Abeer Char,1973-04-23,Miryalaguda,Gujarat,Teacher,VERIFIED,LOW,2026-05-22 13:44:06.475492
CUST00107,Oni Badami,2005-03-01,Noida,Uttarakhand,Engineer,VERIFIED,MEDIUM,2026-05-22 13:44:06.475508
CUST00108,Jairaj Chadha,1981-02-23,Chittoor,Goa,Business,PENDING,HIGH,2026-05-22 13:44:06.475525
CUST00109,Kala Taneja,1981-07-17,Mangalore,Sikkim,Doctor,VERIFIED,HIGH,2026-05-22 13:44:06.475540
CUST00110,Benjamin Wali,1983-06-26,Ongole,Meghalaya,Engineer,REJECTED,MEDIUM,2026-05-22 13:44:06.475557
CUST00111,Sathvik Pradhan,1970-01-11,Howrah,Uttar Pradesh,Lawyer,PENDING,LOW,2026-05-22 13:44:06.475574
CUST00112,Chanchal Mahal,2002-04-16,Guna,Gujarat,Lawyer,REJECTED,HIGH,2026-05-22 13:44:06.475590
CUST00113,Chameli Bhattacharyya,1991-12-04,Sagar,Uttar Pradesh,Business,VERIFIED,MEDIUM,2026-05-22 13:44:06.475606
CUST00114,Falan Sibal,1981-03-23,Hospet,Uttar Pradesh,Business,PENDING,HIGH,2026-05-22 13:44:06.475625
CUST00115,Dalaja Talwar,1969-08-03,Farrukhabad,Bihar,Government Employee,REJECTED,LOW,2026-05-22 13:44:06.475641
CUST00116,Tanay Deshpande,2004-08-04,Bhilai,Uttarakhand,Business,VERIFIED,HIGH,2026-05-22 13:44:06.475658
CUST00117,Aadhya Goyal,1995-05-15,Jaunpur,Andhra Pradesh,Teacher,VERIFIED,MEDIUM,2026-05-22 13:44:06.475674
CUST00118,Lakshmi Bail,1999-12-03,Kakinada,Karnataka,Lawyer,PENDING,HIGH,2026-05-22 13:44:06.475690
CUST00119,Rishi Tata,1956-04-10,Hosur,Goa,Business,REJECTED,MEDIUM,2026-05-22 13:44:06.475707
CUST00120,Omya Saha,1960-01-22,Bikaner,Odisha,Lawyer,REJECTED,HIGH,2026-05-22 13:44:06.475723
CUST00121,Netra Agate,1976-09-16,Patiala,Uttar Pradesh,Government Employee,PENDING,MEDIUM,2026-05-22 13:44:06.475740
CUST00122,Omaja Lad,1973-04-20,Gandhinagar,Meghalaya,Business,PENDING,HIGH,2026-05-22 13:44:06.475756
CUST00123,Diya Rana,1987-11-05,Panipat,Goa,Teacher,PENDING,HIGH,2026-05-22 13:44:06.475773
CUST00124,Daksh Kashyap,2004-02-17,Muzaffarpur,Arunachal Pradesh,Doctor,VERIFIED,LOW,2026-05-22 13:44:06.475790
CUST00125,Kiaan Bhardwaj,1994-02-17,Kanpur,Mizoram,Engineer,REJECTED,HIGH,2026-05-22 13:44:06.475808
CUST00126,Hiral Viswanathan,1965-06-03,Ambala,Andhra Pradesh,Engineer,PENDING,MEDIUM,2026-05-22 13:44:06.475826
CUST00127,Ishani Nigam,1953-06-17,Cuttack,Tripura,Lawyer,VERIFIED,LOW,2026-05-22 13:44:06.475843
CUST00128,Devansh Keer,1957-01-11,Ozhukarai,Mizoram,Lawyer,REJECTED,MEDIUM,2026-05-22 13:44:06.475860
CUST00129,Shivansh Menon,1973-07-30,Kirari Suleman Nagar,Madhya Pradesh,Teacher,VERIFIED,MEDIUM,2026-05-22 13:44:06.475896
CUST00130,Charvi Mandal,2000-05-29,Tenali,Tamil Nadu,Lawyer,PENDING,LOW,2026-05-22 13:44:06.475916
CUST00131,Harsh Kota,2005-11-03,Rewa,Goa,Lawyer,REJECTED,HIGH,2026-05-22 13:44:06.475936
CUST00132,Yadavi Gulati,1965-05-06,Malda,Manipur,Doctor,REJECTED,MEDIUM,2026-05-22 13:44:06.475954
CUST00133,Xavier Nair,2001-04-13,Adoni,Arunachal Pradesh,Doctor,REJECTED,HIGH,2026-05-22 13:44:06.475974
CUST00134,Aahana Sarma,1971-01-01,Bally,Nagaland,Business,REJECTED,HIGH,2026-05-22 13:44:06.475992
CUST00135,Chakrika Bali,1983-06-06,Raebareli,Chhattisgarh,Engineer,VERIFIED,HIGH,2026-05-22 13:44:06.476009
CUST00136,Qasim Bose,1965-04-28,Belgaum,West Bengal,Engineer,REJECTED,LOW,2026-05-22 13:44:06.476028
CUST00137,Simon Chaudhari,2000-12-18,Giridih,Maharashtra,Engineer,PENDING,LOW,2026-05-22 13:44:06.476047
CUST00138,Ladli Keer,1999-01-19,Chandigarh,Bihar,Government Employee,REJECTED,HIGH,2026-05-22 13:44:06.476064
CUST00139,Ojas Master,1972-04-27,Guna,Tamil Nadu,Teacher,VERIFIED,MEDIUM,2026-05-22 13:44:06.476083
CUST00140,Nihal Narasimhan,2004-03-12,Thane,Meghalaya,Government Employee,VERIFIED,LOW,2026-05-22 13:44:06.476101
CUST00141,Jeevika Tripathi,1982-06-18,South Dumdum,Goa,Engineer,PENDING,LOW,2026-05-22 13:44:06.476118
CUST00142,Neel Kala,2002-06-02,Jaunpur,Manipur,Teacher,REJECTED,HIGH,2026-05-22 13:44:06.476135
CUST00143,Chandran Vyas,1979-12-31,Amravati,Tamil Nadu,Doctor,REJECTED,HIGH,2026-05-22 13:44:06.476153
CUST00144,Laksh Ramaswamy,1967-09-05,Tiruchirappalli,Rajasthan,Lawyer,PENDING,HIGH,2026-05-22 13:44:06.476171
CUST00145,Thomas Baria,1969-12-29,Nagercoil,Sikkim,Business,REJECTED,LOW,2026-05-22 13:44:06.476189
CUST00146,Karan Kothari,1952-01-03,Sagar,Jharkhand,Lawyer,VERIFIED,LOW,2026-05-22 13:44:06.476211
CUST00147,Yash Mutti,1965-04-17,Barasat,Nagaland,Teacher,VERIFIED,HIGH,2026-05-22 13:44:06.476227
CUST00148,William Majumdar,1967-04-29,Saharsa,Goa,Engineer,REJECTED,HIGH,2026-05-22 13:44:06.476247
CUST00149,Devika Subramaniam,2007-09-23,Begusarai,Madhya Pradesh,Doctor,REJECTED,MEDIUM,2026-05-22 13:44:06.476265
CUST00150,Darpan Sampath,1966-12-04,Kadapa,Tripura,Doctor,PENDING,LOW,2026-05-22 13:44:06.476285
CUST00151,Indrajit Thaman,1995-07-14,Phagwara,Madhya Pradesh,Lawyer,REJECTED,HIGH,2026-05-22 13:44:06.476301
CUST00152,Omya Sekhon,1953-08-18,Kozhikode,Karnataka,Teacher,PENDING,HIGH,2026-05-22 13:44:06.476318
CUST00153,Fariq Varkey,1961-01-30,Guntakal,Andhra Pradesh,Lawyer,PENDING,LOW,2026-05-22 13:44:06.476341
CUST00154,Yashawini Seth,1985-11-27,Jamalpur,Tamil Nadu,Government Employee,PENDING,LOW,2026-05-22 13:44:06.476357
CUST00155,Hamsini Narang,1959-08-14,Dharmavaram,Tamil Nadu,Government Employee,PENDING,LOW,2026-05-22 13:44:06.476372
CUST00156,Yoshita Kuruvilla,2000-04-10,Jammu,Assam,Lawyer,PENDING,MEDIUM,2026-05-22 13:44:06.476388
CUST00157,Chameli Comar,2007-07-17,Jaunpur,Haryana,Government Employee,VERIFIED,HIGH,2026-05-22 13:44:06.476415
CUST00158,Warhi Chaudry,1981-03-30,Mirzapur,Telangana,Business,PENDING,MEDIUM,2026-05-22 13:44:06.476433
CUST00159,Andrew Soni,1970-07-03,Pimpri-Chinchwad,Manipur,Government Employee,PENDING,LOW,2026-05-22 13:44:06.476452
CUST00160,Ijaya Kala,1957-09-29,Chandrapur,Meghalaya,Government Employee,REJECTED,LOW,2026-05-22 13:44:06.476469
CUST00161,Chaitaly Toor,1956-02-12,Avadi,Odisha,Business,VERIFIED,MEDIUM,2026-05-22 13:44:06.476487
CUST00162,Aadhya Srinivasan,1954-01-18,Udupi,Meghalaya,Lawyer,VERIFIED,MEDIUM,2026-05-22 13:44:06.476504
CUST00163,Guneet Sarkar,2005-02-16,Bellary,Uttarakhand,Business,REJECTED,HIGH,2026-05-22 13:44:06.476526
CUST00164,Tanish Goyal,2008-02-25,Srinagar,Karnataka,Lawyer,PENDING,MEDIUM,2026-05-22 13:44:06.476544
CUST00165,Yatin Shan,1977-11-18,Maheshtala,Tamil Nadu,Doctor,VERIFIED,LOW,2026-05-22 13:44:06.476562
CUST00166,Ekta Panchal,1967-10-13,Madanapalle,Maharashtra,Lawyer,VERIFIED,HIGH,2026-05-22 13:44:06.476580
CUST00167,Nihal Misra,1993-04-26,Imphal,Haryana,Business,REJECTED,MEDIUM,2026-05-22 13:44:06.476597
CUST00168,Pranav Sachar,1953-08-01,Amravati,Rajasthan,Doctor,PENDING,HIGH,2026-05-22 13:44:06.476616
CUST00169,Hritik Luthra,1962-02-01,Gudivada,Kerala,Teacher,VERIFIED,HIGH,2026-05-22 13:44:06.476633
CUST00170,Janaki Hayer,2006-07-02,Bardhaman,Chhattisgarh,Teacher,REJECTED,MEDIUM,2026-05-22 13:44:06.476654
CUST00171,Shivansh Sem,1968-06-20,Saharsa,Chhattisgarh,Teacher,VERIFIED,HIGH,2026-05-22 13:44:06.476672
CUST00172,Netra Thaman,1992-07-18,Nagercoil,Nagaland,Lawyer,REJECTED,MEDIUM,2026-05-22 13:44:06.476691
CUST00173,Lucky Banik,1965-09-01,Hubli–Dharwad,Nagaland,Doctor,PENDING,HIGH,2026-05-22 13:44:06.476710
CUST00174,Lavanya Barman,1979-10-21,Mira-Bhayandar,Jharkhand,Lawyer,REJECTED,LOW,2026-05-22 13:44:06.476729
CUST00175,Ira Anne,1960-12-15,Buxar,Chhattisgarh,Doctor,REJECTED,LOW,2026-05-22 13:44:06.476749
CUST00176,Sneha Mane,2007-02-20,Dharmavaram,Bihar,Doctor,VERIFIED,HIGH,2026-05-22 13:44:06.476768
CUST00177,Laban Jaggi,1996-10-26,Jamnagar,Arunachal Pradesh,Lawyer,REJECTED,MEDIUM,2026-05-22 13:44:06.476785
CUST00178,Caleb Krish,1997-01-25,Warangal,Tamil Nadu,Government Employee,VERIFIED,LOW,2026-05-22 13:44:06.476803
CUST00179,Kabir Agarwal,1960-12-18,Gaya,Chhattisgarh,Engineer,PENDING,MEDIUM,2026-05-22 13:44:06.476821
CUST00180,Teerth Konda,1979-05-22,Bharatpur,Arunachal Pradesh,Engineer,PENDING,LOW,2026-05-22 13:44:06.476839
CUST00181,Devika Parmar,2007-02-06,Sultan Pur Majra,Rajasthan,Government Employee,PENDING,LOW,2026-05-22 13:44:06.476857
CUST00182,Gaurangi Aggarwal,1990-03-05,Kota,Maharashtra,Engineer,PENDING,LOW,2026-05-22 13:44:06.476875
CUST00183,Anirudh Morar,1979-11-25,Mirzapur,Maharashtra,Teacher,VERIFIED,MEDIUM,2026-05-22 13:44:06.476895
CUST00184,Indali Bobal,1984-10-26,Bhopal,Sikkim,Government Employee,VERIFIED,HIGH,2026-05-22 13:44:06.476913
CUST00185,Anvi Subramaniam,2007-03-04,Arrah,Chhattisgarh,Doctor,VERIFIED,LOW,2026-05-22 13:44:06.476932
CUST00186,Jonathan Warrior,1985-06-12,New Delhi,Sikkim,Teacher,PENDING,MEDIUM,2026-05-22 13:44:06.476950
CUST00187,Nilima Pandya,2003-11-21,Alwar,Nagaland,Teacher,PENDING,HIGH,2026-05-22 13:44:06.476968
CUST00188,Rehaan Dhawan,2000-05-23,Akola,Andhra Pradesh,Doctor,VERIFIED,LOW,2026-05-22 13:44:06.476987
CUST00189,Gayathri De,1967-04-29,Jehanabad,Karnataka,Doctor,VERIFIED,MEDIUM,2026-05-22 13:44:06.477162
CUST00190,Vasatika Pandya,1996-08-15,Bharatpur,Jharkhand,Lawyer,REJECTED,HIGH,2026-05-22 13:44:06.477200
CUST00191,Rayaan Barman,1972-09-08,Berhampore,Odisha,Government Employee,VERIFIED,LOW,2026-05-22 13:44:06.477222
CUST00192,Nisha Nair,1985-10-07,Amaravati,Jharkhand,Engineer,REJECTED,MEDIUM,2026-05-22 13:44:06.477254
CUST00193,Oscar Saini,1959-06-24,Amritsar,Arunachal Pradesh,Business,REJECTED,HIGH,2026-05-22 13:44:06.477273
CUST00194,Shivani Rai,1963-06-01,Kumbakonam,West Bengal,Government Employee,PENDING,LOW,2026-05-22 13:44:06.477292
CUST00195,Unnati Patla,1960-02-19,Nashik,Odisha,Teacher,VERIFIED,HIGH,2026-05-22 13:44:06.477311
CUST00196,Girish Kakar,1959-10-23,Patiala,Gujarat,Business,REJECTED,MEDIUM,2026-05-22 13:44:06.477329
CUST00197,Manthan Rege,1993-01-06,Delhi,Maharashtra,Business,VERIFIED,HIGH,2026-05-22 13:44:06.477347
CUST00198,Sanya Dave,2005-02-14,Lucknow,Manipur,Teacher,PENDING,LOW,2026-05-22 13:44:06.477367
CUST00199,Harshil Ramachandran,1985-12-20,Bhimavaram,Haryana,Teacher,PENDING,LOW,2026-05-22 13:44:06.477387
CUST00200,Tanvi Kapadia,1983-07-12,Agartala,West Bengal,Government Employee,PENDING,HIGH,2026-05-22 13:44:06.477406
CUST00201,Rachana Kala,1954-06-08,Ghaziabad,Kerala,Lawyer,VERIFIED,MEDIUM,2026-05-22 13:44:06.477425
CUST00202,Zarna Pau,1959-03-31,Parbhani,Sikkim,Teacher,PENDING,LOW,2026-05-22 13:44:06.477447
CUST00203,Hritik Ratta,1987-01-22,Bathinda,Tamil Nadu,Business,PENDING,MEDIUM,2026-05-22 13:44:06.477477
CUST00204,Rishi Manda,1997-07-10,Latur,Madhya Pradesh,Doctor,PENDING,HIGH,2026-05-22 13:44:06.477504
CUST00205,Dayamai Sodhi,1983-12-30,Visakhapatnam,Tamil Nadu,Government Employee,REJECTED,MEDIUM,2026-05-22 13:44:06.477529
